prefilter_rank,feature_index,status,hits,hit_rate,mean_importance,max_importance,mutual_information,layer_index,aggregation_component,within_component_dim
567,22785,rejected,31,0.31,0.0006581524699768347,0.0022345475035406535,0.06711258739233017,10,mean,513
568,20289,rejected,26,0.26,0.0005565897621715918,0.0036652240476792086,0.10094796866178513,9,mean,321
569,13602,rejected,20,0.2,0.0004301718593459199,0.0017756917845134703,0.09071087092161179,6,mean,546
570,26409,rejected,1,0.01,0.00015380303837758848,0.0012293225553728743,0.07403060793876648,12,min,297
571,1864,rejected,26,0.26,0.000565988704172761,0.0034063096959915514,0.0574924536049366,1,mean,328
572,4577,rejected,7,0.07,0.00026744370172135,0.002116386106102246,0.08640526235103607,2,mean,737
573,24231,rejected,7,0.07,0.00030452977175364824,0.0016303836387045073,0.1162613183259964,11,min,423
574,11289,rejected,4,0.04,0.0002220037205786646,0.0014387242130642999,0.09410859644412994,5,mean,537
575,4452,rejected,4,0.04,0.00021645211147511663,0.0010317698814917768,0.06742294132709503,2,mean,612
576,12293,rejected,19,0.19,0.0005098562522836314,0.002292601110377407,0.10285434871912003,6,min,5
577,5449,confirmed,75,0.75,0.0016907178325596235,0.005898359474949116,0.14287211000919342,3,min,73
578,26481,rejected,29,0.29,0.0006334143294639169,0.004008928470065383,0.06823445111513138,12,min,369
579,13546,rejected,13,0.13,0.0003557236672200046,0.002014824874151988,0.10743793845176697,6,mean,490
580,2176,rejected,6,0.06,0.00027624864387475857,0.0012073863636363614,0.05894060805439949,1,mean,640
581,26547,rejected,5,0.05,0.00027075823585468817,0.002263812618784459,0.10283377021551132,12,min,435
582,22572,rejected,7,0.07,0.000313616480365244,0.0014105738204174662,0.07504604756832123,10,mean,300
583,13719,tentative,64,0.64,0.0013158053931143817,0.004127538748496748,0.12177660316228867,6,mean,663
584,910,rejected,4,0.04,0.00026567492218637715,0.0013489618177722192,0.10564158856868744,1,min,142
585,1702,rejected,9,0.09,0.000298152536438763,0.001522213525676238,0.09657839685678482,1,mean,166
586,8706,rejected,11,0.11,0.00034749400373788956,0.0012661224782990006,0.09102655202150345,4,mean,258
587,8672,rejected,7,0.07,0.00031414297625881793,0.0014335589707024025,0.0681345984339714,4,mean,224
588,2347,rejected,27,0.27,0.0005879327013015779,0.0018833650931477414,0.09440327435731888,2,max,43
589,1878,rejected,4,0.04,0.0002916104645273393,0.001549217027865949,0.06524492055177689,1,mean,342
590,10993,rejected,30,0.3,0.0005803690612615086,0.002768722317927203,0.09576593339443207,5,mean,241
591,20172,rejected,6,0.06,0.00027600781386373844,0.0017201349950666683,0.07361916452646255,9,mean,204
592,6625,confirmed,93,0.93,0.0036757291245007374,0.010755287028143757,0.12329479306936264,3,mean,481
593,24181,tentative,39,0.39,0.000741763080806069,0.0031872590811977573,0.12364455312490463,11,min,373
594,12966,confirmed,72,0.72,0.0015471554931162546,0.004906105942609719,0.11063936352729797,6,min,678
595,22547,rejected,17,0.17,0.0003785846052246707,0.0020392041745266112,0.11822187155485153,10,mean,275
596,20602,rejected,14,0.14,0.0004553020635988245,0.0018723823366234697,0.06331072747707367,9,mean,634
597,19812,confirmed,67,0.67,0.001272129280652351,0.003600422037229742,0.10667561739683151,9,min,612
598,6314,tentative,47,0.47,0.0009656225260987407,0.005540690180402389,0.11488817632198334,3,mean,170
599,15900,rejected,6,0.06,0.00030761205135165087,0.0016145702540600335,0.1149558275938034,7,mean,540
600,23852,rejected,3,0.03,0.00029218578815986705,0.001311471055837083,0.09563073515892029,11,min,44
601,4353,rejected,21,0.21,0.0004604292616640229,0.0016932953816452606,0.06256700307130814,2,mean,513
602,24509,rejected,3,0.03,0.0001914957391149161,0.001117690784886684,0.07598849385976791,11,min,701
603,164,rejected,16,0.16,0.00048304336618376365,0.0017383056905087005,0.09058178216218948,1,max,164
604,25441,rejected,3,0.03,0.00028400866967345133,0.0010932989752703887,0.08796973526477814,12,max,97
605,17327,tentative,36,0.36,0.0006885351814106696,0.003011544977712551,0.10437512397766113,8,min,431
606,8466,rejected,14,0.14,0.00041742497805035274,0.001620829985683938,0.0595809631049633,4,mean,18
607,22674,confirmed,69,0.69,0.0015264884854088601,0.004753606262996619,0.08906260877847672,10,mean,402
608,6287,rejected,9,0.09,0.0002836904925262909,0.002034845139984456,0.11994374543428421,3,mean,143
609,23402,rejected,30,0.3,0.000646448549695659,0.002057377818251697,0.11060123890638351,11,max,362
610,9925,confirmed,67,0.67,0.0015279703863770608,0.004717268195199208,0.10981317609548569,5,max,709
611,27192,rejected,24,0.24,0.00046158847588939617,0.002003427299520436,0.10689730197191238,12,mean,312
612,4063,rejected,11,0.11,0.0004640689045349521,0.002360818228395521,0.05904741212725639,2,mean,223
613,1535,tentative,42,0.42,0.000793746558654452,0.0023321376950296967,0.11200541257858276,1,min,767
614,6828,tentative,43,0.43,0.0008439210187858606,0.003602913998528899,0.07276929169893265,3,mean,684
615,26958,tentative,37,0.37,0.0007732012607526888,0.0022343602103788527,0.08772967755794525,12,mean,78
616,8456,rejected,19,0.19,0.00047040993944752176,0.0018717017430654303,0.09941697865724564,4,mean,8
617,8815,tentative,47,0.47,0.0009175119667500607,0.00317782270062646,0.1283295750617981,4,mean,367
618,14144,rejected,17,0.17,0.00047022380506338263,0.001663577476219963,0.08669374138116837,7,max,320
619,5999,rejected,6,0.06,0.00036257851174240416,0.0014989448996936903,0.09262657910585403,3,min,623
620,11488,tentative,39,0.39,0.0008363974633216236,0.002946545040593244,0.10106624662876129,5,mean,736
621,3960,rejected,8,0.08,0.0003149611355330379,0.001426523483588613,0.05820178613066673,2,mean,120
622,12190,rejected,0,0.0,0.0001682983303847848,0.0007346539302889797,0.07305260002613068,6,max,670
623,22490,tentative,35,0.35,0.0007644420214339395,0.003596829134133638,0.09741973131895065,10,mean,218
624,4345,tentative,47,0.47,0.0010096710153825578,0.00430953868813385,0.1393367350101471,2,mean,505
625,2785,tentative,55,0.55,0.0010474976724570673,0.0033019006122306516,0.11324623972177505,2,max,481
