prefilter_rank,feature_index,status,hits,hit_rate,mean_importance,max_importance,mutual_information,layer_index,aggregation_component,within_component_dim
899,21887,confirmed,80,0.8,0.0020071375808253,0.005414526843817,0.1225322484970092,10,min,383
925,22336,confirmed,100,1.0,0.0072959429970367,0.0139450856269075,0.1286609768867492,10,mean,64
930,4655,confirmed,91,0.91,0.0033812841587428,0.0094204734496422,0.126162514090538,3,max,47
948,25453,confirmed,72,0.72,0.0016845598973987,0.0052632894923202,0.1225691586732864,12,max,109
953,15702,confirmed,87,0.87,0.0025023917351331,0.0061265827410344,0.0973767340183258,7,mean,342
956,13347,confirmed,80,0.8,0.0017684141752657,0.0044476362478409,0.0767405033111572,6,mean,291
959,12252,confirmed,99,0.99,0.0037214774143547,0.0095365125372982,0.1380370259284973,6,max,732
969,11484,confirmed,90,0.9,0.0032575986599755,0.0088410765181327,0.1259684413671493,5,mean,732
979,25063,confirmed,68,0.68,0.0015167801114824,0.006132544808084,0.1075197681784629,11,mean,487
987,12229,confirmed,98,0.98,0.0041752604431082,0.0116168692352754,0.1062686145305633,6,max,709
1000,18052,confirmed,71,0.71,0.0015791586981839,0.0049537006236226,0.1007506400346756,8,mean,388
