rank,feature_index,mutual_information,layer_index,aggregation_component,within_component_dim
245,21729,0.12525274,10,min,225
246,22780,0.09821605,10,mean,508
247,15423,0.11311197,7,mean,63
248,4084,0.103676036,2,mean,244
249,1958,0.06934909,1,mean,422
250,24644,0.11478242,11,mean,68
251,14952,0.09739461,7,min,360
252,4549,0.15031989,2,mean,709
253,11215,0.08415021,5,mean,463
254,22315,0.15288569,10,mean,43
255,4439,0.08811686,2,mean,599
256,17873,0.12202263,8,mean,209
257,121,0.13395491,1,max,121
258,24596,0.09354249,11,mean,20
259,16880,0.09665896,8,max,752
260,4040,0.12605254,2,mean,200
261,17672,0.12737727,8,mean,8
262,6366,0.11417952,3,mean,222
263,4199,0.08656898,2,mean,359
264,8955,0.07519973,4,mean,507
265,5061,0.109747134,3,max,453
266,25890,0.09206873,12,max,546
267,4583,0.07471006,2,mean,743
268,4198,0.082471676,2,mean,358
269,4273,0.06937531,2,mean,433
270,18535,0.13292453,9,max,103
271,22381,0.16058934,10,mean,109
272,1897,0.07390588,1,mean,361
273,24654,0.10274696,11,mean,78
274,2291,0.0799642,1,mean,755
275,18396,0.16483554,8,mean,732
276,4008,0.14460018,2,mean,168
277,16326,0.116792925,8,max,198
278,16095,0.08561577,7,mean,735
279,6413,0.07342467,3,mean,269
280,18153,0.089774214,8,mean,489
281,15782,0.12936054,7,mean,422
282,6829,0.07423138,3,mean,685
283,8880,0.13280384,4,mean,432
284,24865,0.073990025,11,mean,289
285,2296,0.08151491,1,mean,760
286,485,0.11593075,1,max,485
287,8613,0.12782286,4,mean,165
288,1799,0.07233263,1,mean,263
289,12160,0.11132807,6,max,640
290,11243,0.12797414,5,mean,491
291,10985,0.10331183,5,mean,233
292,16039,0.13897495,7,mean,679
293,1632,0.07998555,1,mean,96
294,27575,0.12056402,12,mean,695
295,22922,0.078652374,10,mean,650
296,4231,0.06833008,2,mean,391
297,1520,0.11456124,1,min,752
298,17741,0.07963269,8,mean,77
299,6847,0.10306136,3,mean,703
300,19260,0.10272029,9,min,60
301,3975,0.14783092,2,mean,135
302,16870,0.1310621,8,max,742
303,27181,0.08920013,12,mean,301
304,25790,0.09075349,12,max,446
305,4098,0.10310775,2,mean,258
306,10960,0.07820033,5,mean,208
307,8671,0.13284808,4,mean,223
308,1391,0.124129534,1,min,623
309,513,0.11322521,1,max,513
310,4201,0.07905703,2,mean,361
311,15016,0.11128327,7,min,424
312,13438,0.14654112,6,mean,382
313,20914,0.08556731,10,max,178
314,15634,0.09553877,7,mean,274
315,9185,0.144922,4,mean,737
316,4587,0.07424752,2,mean,747
317,6112,0.11701151,3,min,736
318,22518,0.07569279,10,mean,246
319,20459,0.0811461,9,mean,491
